Song Name,Musicians,Duration,Song Link
"Eclipse (From ""Dune"") [Trailer Version]",Hans Zimmer,1:37,https://music.youtube.com/watch?v=2iDgjBxZ-Nc
Breathe (In the Air),Pink Floyd,2:50,https://music.youtube.com/watch?v=_396y7Vk9NA
Imagine,John Lennon,3:08,https://music.youtube.com/watch?v=rAn-AWXtHv0
Believer,Imagine Dragons,3:25,https://music.youtube.com/watch?v=Kx7B-XvmFtE
I Ain’t Worried - Acoustic,OneRepublic,2:30,https://music.youtube.com/watch?v=tMWB97xJZc4
Free Bird,Lynyrd Skynyrd,9:08,https://music.youtube.com/watch?v=CqnU_sJ8V-E
Cheri Cheri Lady,Modern Talking,3:46,https://music.youtube.com/watch?v=lyWqQ4KzlzQ
Time,Pink Floyd,6:54,https://music.youtube.com/watch?v=80LhtHY_fHw
Us and Them,Pink Floyd,7:50,https://music.youtube.com/watch?v=5wth9BScmGY
Hymn for the Weekend,Coldplay,4:19,https://music.youtube.com/watch?v=H3Kzh6RrnMc
Radioactive,Imagine Dragons,3:07,https://music.youtube.com/watch?v=R_BO8C05XLA
The Great Gig in the Sky,Pink Floyd,4:44,https://music.youtube.com/watch?v=hOhTDRdcx4o
The Scientist,Coldplay,5:10,https://music.youtube.com/watch?v=gm-Y9idMMQ4
Viva La Vida,Coldplay,4:02,https://music.youtube.com/watch?v=3a-q7vPa-UU
Brain Damage,Pink Floyd,3:47,https://music.youtube.com/watch?v=Rly0qaXeSPg
Demons,Imagine Dragons,2:58,https://music.youtube.com/watch?v=y4FiCl-tUJc
Royalty (Slowed + Reverb),"Neoni, Maestro Chives, Egzod",3:44,https://music.youtube.com/watch?v=C5fLxtJH2Qs
Enemy (from the series Arcane League of Legends),"Imagine Dragons, JID, Arcane, League Of Legends",2:54,https://music.youtube.com/watch?v=WmQHSkjgyDM
Thunder,Imagine Dragons,3:25,https://music.youtube.com/watch?v=fKopy74weus
Fairytale,Alexander Rybak,3:03,https://music.youtube.com/watch?v=3zYCYpbVzHk
Sharks,Imagine Dragons,3:11,https://music.youtube.com/watch?v=jvwDooKFMLk
Fearless pt. II (feat. Chris Linton),Lost Sky,3:14,https://music.youtube.com/watch?v=S19UcWdOA-I
Mortals (feat. Laura Brehm),Warriyo,3:49,https://music.youtube.com/watch?v=BOMFt9OCsT0
Duncan Laurence - Arcade (LIVE) | Netherlands 🇳🇱 | Grand Final | Winner of Eurovision 2019,Eurovision Song Contest,3:25,https://music.youtube.com/watch?v=R3D-r4ogr7s
Bones,Imagine Dragons,2:46,https://music.youtube.com/watch?v=V2SVRJ6dcE4
Eclipse (2023 Remaster),Pink Floyd,2:07,https://music.youtube.com/watch?v=c06Xu2EqmcY
Fearless Pt. II,"Lost Sky, Chris Linton",3:15,https://music.youtube.com/watch?v=gHMEhCtDNxw
Thunder,Imagine Dragons,3:08,https://music.youtube.com/watch?v=9ssQKlLxBdQ
Faded,Alan Walker,3:33,https://music.youtube.com/watch?v=pIWaVJPl0-c
Royalty (feat. Neoni),"Egzod, Maestro Chives",3:44,https://music.youtube.com/watch?v=tthafU1Ao40
Ignite (feat. Seungri),K-391,3:31,https://music.youtube.com/watch?v=I-CMtScCtc8
Cradles,Sub Urban,3:30,https://music.youtube.com/watch?v=INo4WtusH10
Luminary (Slowed Down),Joel Sunny,3:14,https://music.youtube.com/watch?v=ZY1f7E_2iFA
Devil,Barren Gates,2:56,https://music.youtube.com/watch?v=FwzpcHJ8L2U
Past Lives,BØRNS,4:32,https://music.youtube.com/watch?v=eLOH-1uYt9w
Crazy,"BEAUZ, JVNA",3:09,https://music.youtube.com/watch?v=TYpymArtsHk
Arcade,Duncan Laurence,3:04,https://music.youtube.com/watch?v=858GKxHbiUg
Rise Up,TheFatRat,2:50,https://music.youtube.com/watch?v=6uVrP0Qj1cU
Linked,"Jim Yosef, Anna Yvette",3:44,https://music.youtube.com/watch?v=01k6ji1vOFA
Unknown Brain - Superhero (feat. Chris Linton) | Trap | NCS - Copyright Free Music,NoCopyrightSounds,3:02,https://music.youtube.com/watch?v=LHvYrn3FAgI
Control,"Unknown Brain, Rival, Jex",2:47,https://music.youtube.com/watch?v=XyZCINirCSs
Grateful,NEFFEX,3:03,https://music.youtube.com/watch?v=uIbKScXYl2A
Enemy (From the series Arcane League of Legends),"Imagine Dragons, League Of Legends, JID",2:54,https://music.youtube.com/watch?v=vxa8ShIm9yw
Invisible,"Zeus X Crona, Julius Dreisig",3:22,https://music.youtube.com/watch?v=ytIGeNyR9Ng
House of Memories,Panic! At The Disco,3:29,https://music.youtube.com/watch?v=bLm8g1gdcPc
Dandelions,Ruth B.,3:54,https://music.youtube.com/watch?v=HZbsLxL7GeM
Shape of You,Ed Sheeran,3:54,https://music.youtube.com/watch?v=xTvyyoF_LZY
On & On (feat. Daniel Levi),"Cartoon, Jéja",3:28,https://music.youtube.com/watch?v=3XwVycXoTMU
Unstoppable,Sia,3:38,https://music.youtube.com/watch?v=cfhwSpSDA9c
Something Just Like This,"The Chainsmokers, Coldplay",4:08,https://music.youtube.com/watch?v=owTWCbq_nSk
Apologize,OneRepublic,3:29,https://music.youtube.com/watch?v=BbvRjLPCzJk
I Ain't Worried,OneRepublic,2:29,https://music.youtube.com/watch?v=NF7oYY7Lhq4
Shape Of You Indian Mix (Feat. Aditya Rao) | New Age Carnatic,IndianRaga,3:15,https://music.youtube.com/watch?v=MUXPL4rZL_E
Here Comes The Sun (Remastered 2009),The Beatles,3:06,https://music.youtube.com/watch?v=xUNqsfFUwhY
A Sky Full of Stars,Coldplay,4:28,https://music.youtube.com/watch?v=KWuyx6yZ21U
Hotel California,Eagles,6:32,https://music.youtube.com/watch?v=BciS5krYL80
